folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
,dem_0110,Age at enrollment,,,,,,DEM_0110 is derrived from PHI_0500 and irb_end,,
,dem_0200,Country of Birth,,,,,,,,
,dem_0300,Occupation,,,,,,,,
,dem_0400,Highest Level of Education,,choices,,"0=Elementary School, 1=High School, 3=Assoc Degree, 4=Bachelors Degree, 5=Grad Degree",,,,
,dem_0500,Sex,,choices,,"0=Male, 1=Female",,,,
,dem_0600,Height - Feet,,,feet,,,,,
,dem_0610,Height - Inches,,,inches,,,,,
,dem_0620,Height - Converted To Inches,,,inches,,,,,
,dem_0700,Weight,,,pounds,,,,,
,dem_0800,BMI,,,"? Make metric, then convert",,,,,
,dem_0900,Hispanic Origin,,choices,,"0=No, 1=Yes",,,,
,dem_0910,Hispanic Origin - Sub,,choices,,"0=Mexican, Mex/Amer, Chicano, 1=Puerto Rican, 2=Cuban, 3=Other",,,,
,dem_0920,Hispanic Origin - Other Details,,,,,,,,
,dem_1000,Racial Category - Main,,choices,,"0=blank, 1=White/Caucasian, 2=Black/African American, 3=Amer Indian/Alaska Native, 4=Asian, 5=Pacific Islander, 6=Two Races",,,,
,dem_1010,Racial Category - Sub,,choices,,"0=European, 1=Middle Eastern, 2=N. African, 3=Other White/European, 4=Asian Indian, 5=Chinese, 6=Filipino, 7=Japanese, 8=Korean, 9=Vietnamese, 10=Other Asian, 11=Native Hawaiian, 12=Guamanian or Chamorro, 13=Samoan, 14=Other Pacific Islander",,,,
,dem_1020,Racial Category - Country/Province(s) of Origin Details,,,,,,,,
,dem_1100,Is English your native language?,Is English your native language?,choices,,"0=No, 1=Yes",,,,
,dem_1110,What is your native language?,What is your native language?,,,,,,,
,dem_1120,Are you fluent reading/writing in English?,Are you fluent reading/writing in English?,choices,,"0=No, 1=Yes",,,,
,mdhx_0100,Primary Complaint(s) (Sleep Problem),Please indicate whether you have any of the following sleep problems.  Check all that apply.,choices,,"0=No sleep problem, 1=Snoring, 2= My breathing stops at nighttime, 3=Sleepiness during the day, 4=Unrefreshing sleep, 5=Difficulty falling asleep, 6=Difficulty staying asleep, 7=Difficulty keeping a normal sleep schedule, 8=Talk, walk, and/or other behavior in sleep, 9=Nightmares, 10=Act out dreams, 11=Restless legs or unpleasant sensations in legs, 12=Weakness in muscles when surprised, 13=Other",,,,
,mdhx_0110,Primary Complaint - Other Description (Sleep Problem Other),Please indicate whether you have any of the following sleep problems.  Check all that apply.,,,,,,,
,mdhx_0120,Previous Diagnosis Sleep Disorder,Please indicate if you have been diagnosed with any of the following sleep disorders.  Check all that apply. ,choices,,"0=No previous Dx, 1=Sleep apnea, 2=Insomnia, 3=Circadian Rhythm Disturbance, 4=RLS/PLM, 5=Narcolepsy, 6=RBD, 7=Sleepwalking, 8=Other, 9=Hypersomnia",,,,
,mdhx_0120_1,Previous Diagnosis Sleep Disorder,Please indicate if you have been diagnosed with any of the following sleep disorders.  Check all that apply. ,choices,,"0=No previous Dx, 1=Sleep apnea, 2=Insomnia, 3=Circadian Rhythm Disturbance, 4=RLS/PLM, 5=Narcolepsy, 6=RBD, 7=Sleepwalking, 8=Other",,,,
,mdhx_0130,Previous Diagnosis Sleep Disorder - Other Description,Please indicate if you have been diagnosed with any of the following sleep disorders.  Check all that apply. ,,,,,,,
,mdhx_0200,Previously been to Sleep Specialist,"Have you ever seen a sleep specialist, either for a daytime or overnight appointment? ",choices,,"0=No, 1=Yes",,,,
,mdhx_0300,Current Treatment,"What type of treatment(s) are you currently using for your sleep problem(s)?  Check all that apply. <br><br> 9/2017 Wording changed for answer options 1, 9, and 10 (""(prescription or over the counter)"" added to 1, ""(e.g. melatonin, vitamins)"" added to 9, ""for insomnia"" added to 10",choices,,"0=I am not currently being treated, 1=Medication (prescription or over the counter), 2=CPAP/BiPAP type machine, 3=Supplemental oxygen, 4=Prior sleep apnea surgery, 5=Oral appliance or dental device, 6=Weight loss, 7=Sleep position modification, 8=Provent nasal device, 9=Herbal product/nutritional supplement (e.g. melatonin, vitamins), 10=Cognitive Behavioral Therapy for insomnia (CBTi),11=Sleep hygiene/other behavioral modification, 12=Other, 13=Don't know",,,,
,mdhx_0310,Current Treatment - Other Description,What type of treatment(s) are you currently using for your sleep problem(s)?  Describe other,,,,,,,
,mdhx_0400,Type of PAP Device,What type of PAP device do you have?,choices,,"0=CPAP, 1=BiLevel, -55=Don't Know",,,,
,mdhx_0700,How Many Nights/Week Use PAP,How many nights do you use the device during an average week?,,day,,,,,
,mdhx_0800,"On Nights Used, How Many Hours Use PAP","On nights that you use the device, how many hours do you usually use it?   ",,hour,,,,,
,mdhx_0900,Medications,,choices,,"0=No, 1=Yes",,,,
,mdhx_1200,Currently Pregnant,Are you currently pregnant?,choices,,"0=No, 1=Yes, -55=Don't Know",,,,
,mdhx_1300,Menopausal Status,What is your menopausal status?  ,choices,,"0=Pre, 1=Nearing, 2=Post, -55=Don't Know",,,,
,mdhx_1400,Ovaries Removed,Have you had both of your ovaries removed? ,choices,,"0=No, 1=Yes",,,,
,mdhx_1500,Orthodontics/braces/headgear/expander to straighten teeth,,choices,,"0=No, 1=Yes",,,,
,mdhx_1600,Wisdom Teeth Removed,,choices,,"0=No, 1=Yes",,,,
,mdhx_1700,Tonsils or Adenoids,,choices,,"0=No, 1=Yes",,,,
,mdhx_1800,Nose or Jaw Fractures,,choices,,"0=No, 1=Yes",,,,
,mdhx_1900,"Nose, Jaw, Apnea Surgery",,choices,,"0=No, 1=Yes",,,,
,mdhx_1920,Type of Apnea Surgery,,choices,,"0=Nasal Surgery, 1=RFA, 2=UPP or LAUP, 3= MMO or MMA, 4=GAA or Hyoid Suspension, 5=Other, -55=Don't Know",,,,
,mdhx_1930,Type of Apnea Surgery - Other Details,,,,,,,,
,mdhx_2000,Cardiac Surgeries,,choices,,"0=No, 1=Yes",,,,
,mdhx_2020,Type of Cardiac Surgeries,,choices,,"0=Bypass, 1-Stents, 2=Valve Replacement, 4-Other, -55=Don't Know",,,,
,mdhx_2030,Type of Cardiac Surgeries - Other Details,,,,,,,,
,mdhx_2100,Pulmonary Surgeries,,choices,,"0=No, 1=Yes",,,,
,mdhx_2200,Other Surgeries - Detail,,choices,,"0=No, 1=Yes",,,,
,mdhx_2220,Other Surgeries - Detail,,,,,,,,
